DistilBERT Weight,TF-IDF Weight,Accuracy,Precision,Recall,F1,Threshold,Threshold Distance,Weight Balance Distance
0.15000000000000002,0.85,0.89,0.9240780911062907,0.8502994011976048,0.8856548856548857,0.5500000000000003,0.050000000000000266,0.35
0.325,0.675,0.883,0.867816091954023,0.9041916167664671,0.8856304985337243,0.48000000000000015,0.01999999999999985,0.175
0.07500000000000001,0.925,0.884,0.8752436647173489,0.8962075848303394,0.8856015779092702,0.49000000000000016,0.009999999999999842,0.425
0.30000000000000004,0.7,0.886,0.8909090909090909,0.8802395209580839,0.8855421686746988,0.5050000000000001,0.0050000000000001155,0.19999999999999996
0.125,0.875,0.886,0.8909090909090909,0.8802395209580839,0.8855421686746988,0.5100000000000002,0.010000000000000231,0.375
0.1,0.9,0.886,0.8909090909090909,0.8802395209580839,0.8855421686746988,0.5150000000000001,0.015000000000000124,0.4
0.30000000000000004,0.7,0.881,0.8550185873605948,0.9181636726546906,0.8854667949951877,0.46000000000000013,0.03999999999999987,0.19999999999999996
0.225,0.775,0.889,0.9166666666666666,0.8562874251497006,0.8854489164086687,0.5350000000000001,0.03500000000000014,0.275
0.05,0.95,0.879,0.8429602888086642,0.9321357285429142,0.885308056872038,0.4500000000000001,0.04999999999999988,0.45
0.25,0.75,0.879,0.8429602888086642,0.9321357285429142,0.885308056872038,0.4450000000000001,0.05499999999999988,0.25
0.1,0.9,0.879,0.8429602888086642,0.9321357285429142,0.885308056872038,0.4450000000000001,0.05499999999999988,0.4
0.275,0.725,0.888,0.9094736842105263,0.8622754491017964,0.8852459016393442,0.5300000000000002,0.03000000000000025,0.22499999999999998
0.1,0.9,0.885,0.886,0.8842315369261478,0.8851148851148851,0.5100000000000002,0.010000000000000231,0.4
0.17500000000000002,0.825,0.879,0.8442028985507246,0.9301397205588823,0.8850902184235517,0.4450000000000001,0.05499999999999988,0.32499999999999996
0.2,0.8,0.889,0.9202586206896551,0.8522954091816367,0.8849740932642487,0.5400000000000003,0.04000000000000026,0.3
